id,type,type-id,score,name,address,coordinates,area,life-span,disambiguation,aliases
dee0f3f1-7265-44b8-b4c5-32c3d096da1c,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Studio Drum,,,"{'id': '40d758a4-b7c2-40f3-b439-5efbd2a3b038', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Bristol', 'sort-name': 'Bristol', 'life-span': {'ended': None}}",{'ended': None},,
ca7c93a3-35ce-475c-aae8-4ee8069f84ad,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Nemo Studios,,,"{'id': '11a44e18-a2e5-43a9-bee9-aa4f7c83f967', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Hamburg', 'sort-name': 'Hamburg', 'life-span': {'ended': None}}",{'ended': None},Hamburg,"[{'sort-name': 'Nemo Studio', 'name': 'Nemo Studio', 'locale': None, 'type': None, 'primary': None, 'begin-date': None, 'end-date': None}]"
c1c393e3-1573-4d8e-a312-b7777e604b00,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Ocean Club Studio,,,"{'id': '1a08232b-07d9-489b-b1e6-46c5443f4d96', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Key Biscayne', 'sort-name': 'Key Biscayne', 'life-span': {'ended': None}}",{'ended': None},,
ffb91488-13c8-4243-b93d-1458b23bd136,Other,a0df5ead-0bd6-33d8-8444-855a9f3e9970,100,Sport Campus Lange Munte,Bad Godesberglaan 22,"{'latitude': '50.806694', 'longitude': '3.302046'}","{'id': '4420283f-e0d7-4388-9a70-ff2b27bb4792', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Kortrijk', 'sort-name': 'Kortrijk', 'life-span': {'ended': None}}",{'ended': None},,
4d0a4b7a-d13b-4edd-a9a6-8044204fe178,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,Akademie der Künste,Pariser Platz 4,"{'latitude': '52.515', 'longitude': '13.379444'}","{'id': 'c9ac1239-e832-41bc-9930-e252a1fd1105', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Berlin', 'sort-name': 'Berlin', 'life-span': {'ended': None}}",{'ended': None},Berlin,"[{'sort-name': 'Academy of Arts', 'name': 'Academy of Arts', 'locale': None, 'type': None, 'primary': None, 'begin-date': None, 'end-date': None}]"
284109bd-734e-4bc0-8dbd-2126a694651f,,,100,The Box,,,"{'id': 'e68879f9-bd95-41ff-96ba-c082ff37cc74', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Nashville', 'sort-name': 'Nashville', 'life-span': {'ended': None}}",{'ended': None},,
d28b611e-ba25-4d3a-a011-dc11a5e50b58,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,The Stable,,,"{'id': '74e50e58-5deb-4b99-93a2-decbb365c07f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'New York', 'sort-name': 'New York', 'life-span': {'ended': None}}",{'ended': None},,
ef43049c-2400-4fda-af73-a2f5ccee1578,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,P1 Studio,,,,{'ended': None},,
e8ef3970-3189-46bd-b9cc-51e693b91356,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Organic Control Centre,,,"{'id': 'f03d09b3-39dc-4083-afd6-159e3f0d462f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'London', 'sort-name': 'London', 'life-span': {'ended': None}}",{'ended': None},,
e68d98cd-e69d-4445-9992-54f1b9c9dd1f,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Kosmos Studios,,,"{'id': '40d758a4-b7c2-40f3-b439-5efbd2a3b038', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Bristol', 'sort-name': 'Bristol', 'life-span': {'ended': None}}",{'ended': None},,
c0b3bb35-03eb-4609-96dc-ea5fadbdd14c,,,100,Mistura Fina,,,"{'id': '9443d4f5-668c-4f30-96bd-6caf831de30f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Rio de Janeiro', 'sort-name': 'Rio de Janeiro', 'life-span': {'ended': None}}",{'ended': None},,
66daff8e-3ce2-4faa-a1b8-cc1fe0ef885d,Religious building,a120ca4a-69e9-3c0e-bc09-21cae26eb621,100,Église Réformée d'Auteuil,"53 Rue Erlanger, 75016 Paris, France","{'latitude': '48.844609', 'longitude': '2.260256'}","{'id': 'dc10c22b-e510-4006-8b7f-fecb4f36436e', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Paris', 'sort-name': 'Paris', 'life-span': {'ended': None}}",{'ended': None},,
